serial_scrambled	BSA21_final_wt	DVSex21	Ragecat	HHincomex	RClassGP	hedqual2x	MarStat6x	HhlChlGpdx	PMSx	HomoSexx	Partyfwx	Politicsx	Votedx	Spend1x	dolex	TAXSPENDx	EQOPPGAYx	EQOPPTx	CHOPWOMMx	EQOPPBLKx	TBirCertx	EqOpDisx	EqOpMhx	welfare2	leftrigh	libauth	NHSSatx	GPSatx	NHSFProbx	NHSAccx
1006511	.724770603793868	1	2	1	1	1	1	1	5	5	6	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	3	3.25	1.4	2.66666666666667	-1	-1	-1	-1
1006512	1.1682021897628	2	2	9	5	2	1	1	5	5	6	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3.125	2.2	2.33333333333333	-1	-1	-1	-1
1021071	.670667855032393	1	2	3	3	1	1	1	5	5	3	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3	3.6	2.83333333333333	-1	-1	-1	-1
1029451	.681264037794573	2	3	3	2	1	1	1	5	5	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2	1.6	2.16666666666667	-1	-1	-1	-1
1029452	.43252577391159	1	4	3	1	1	1	1	5	5	2	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	2	2	2.66666666666667	-1	-1	-1	-1
1014161	.418125251908492	1	4	9	8	1	1	1	5	5	4	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	5	1.5	1.2	3.33333333333333	-1	-1	-1	-1
1007411	1.13984817045493	1	3	3	1	2	1	1	5	5	5	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3.125	2.2	3.33333333333333	-1	-1	-1	-1
1007412	2.05567595518133	1	4	3	1	3	1	1	5	5	5	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3.75	3.4	4.16666666666667	-1	-1	-1	-1
1033981	.858550519626106	1	7	9	2	3	4	2	9	9	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	9	4	4.2	4.33333333333333	-1	-1	-1	-1
1016641	.5504026614658	2	6	3	1	1	1	2	5	5	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	4	3.6	4.66666666666667	-1	-1	-1	-1
1016642	.570685309176045	1	4	4	1	1	1	2	5	5	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	3.875	2	4.5	-1	-1	-1	-1
1021741	.520241195243062	1	2	9	5	1	4	2	5	5	2	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	1.5	3	3.16666666666667	-1	-1	-1	-1
1002361	.290819181943025	1	3	3	1	2	2	1	5	5	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2	2.4	3	-1	-1	-1	-1
1004811	1.12240637301154	1	7	2	2	3	3	2	5	2	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	1.625	1.8	2.83333333333333	-1	-1	-1	-1
1006601	.675412418021433	1	5	9	3	2	1	2	5	5	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	4	2.75	4	2.66666666666667	-1	-1	-1	-1
1001952	.951158819761955	2	7	1	4	2	1	2	5	2	5	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	5	2.625	1	3.83333333333333	-1	-1	-1	-1
1029841	.773320263614992	2	7	1	1	2	4	2	3	3	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	2.625	3.4	3.16666666666667	-1	-1	-1	-1
1007321	.646530835975457	2	7	1	4	1	4	2	4	1	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	8	2.875	3	3.16666666666667	-1	-1	-1	-1
1034821	.783764332157602	1	3	2	4	1	1	1	5	5	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	1.625	1.2	4.16666666666667	-1	-1	-1	-1
1034822	2.04517645367692	2	2	2	5	2	1	1	5	5	2	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	1.875	1.4	3	-1	-1	-1	-1
1044931	.471011561713932	1	5	9	1	1	1	2	5	5	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	2	3.375	2.6	3.33333333333333	-1	-1	-1	-1
1044932	.704665828231907	2	5	3	1	1	1	2	5	5	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	3.75	3	2.33333333333333	-1	-1	-1	-1
1027901	.99346123226891	2	7	3	1	1	1	2	5	5	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.625	1	3.33333333333333	-1	-1	-1	-1
1012701	.984745912453437	2	7	9	1	 	1	2	3	1	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	2.375	1.4	3.5	-1	-1	-1	-1
1035241	1.52459933705939	2	7	3	1	1	1	2	1	1	6	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	8	9	3.2	2.4	-1	-1	-1	-1
1035242	1.84069814553308	1	7	3	1	1	1	2	5	5	6	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	1.5	1.4	2.5	-1	-1	-1	-1
1001651	.921622665836289	1	7	9	2	3	2	2	5	5	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2	1.6	2.16666666666667	-1	-1	-1	-1
1004641	.323546232825769	1	6	9	1	1	1	2	5	4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3.125	2.6	2.83333333333333	-1	-1	-1	-1
1035621	.540678924676186	1	2	4	1	1	1	2	5	5	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	4	4.2	3.83333333333333	-1	-1	-1	-1
1035622	1.47920365845419	2	2	4	1	2	1	1	5	5	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	3	4	3.8	3.66666666666667	-1	-1	-1	-1
1010931	.360302411325015	2	7	3	1	2	1	2	5	3	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3.375	3.2	4.33333333333333	-1	-1	-1	-1
1010661	.147271194821751	1	5	1	1	1	1	2	5	5	6	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	1.25	1.6	1.33333333333333	-1	-1	-1	-1
1029331	.784307207212776	1	3	1	1	2	4	1	5	5	5	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.5	2	3.33333333333333	-1	-1	-1	-1
